instagram,sse_idxmin,sse_min_facebook,sse_min,sse_idxmax,sse_max_facebook,sse_max,sse_mean,sse_std,ssmi_idxmin,ssmi_min_facebook,ssmi_min,ssmi_idxmax,ssmi_max_facebook,ssmi_max,ssmi_mean,ssmi_std
./instagram/instagram_images/048.jpg,97188, ./facebook_images/1293_346937065399354_1252970768129308.jpg,25.623018,97695, ./facebook_images/1808_62317591679_10153861784371680.jpg,34390.541470,19053.108382,5627.403085,97188, ./facebook_images/1832_62317591679_10153862364781680.jpg,0.017991,97188, ./facebook_images/1293_346937065399354_1252970768129308.jpg,0.985262,0.172630,0.082589
./instagram/instagram_images/049.jpg,99253, ./facebook_images/1314_346937065399354_1253108748115510.jpg,6.492810,98800, ./facebook_images/0807_135665053303678_551844801685699.jpg,40736.606220,13154.842158,5771.288419,99253, ./facebook_images/1222_346937065399354_1248598775233174.jpg,0.045242,99253, ./facebook_images/1314_346937065399354_1253108748115510.jpg,0.990191,0.200225,0.056076
./instagram/instagram_images/050.jpg,101299, ./facebook_images/1316_346937065399354_1253131941446524.jpg,8.531846,101296, ./facebook_images/1313_346937065399354_1252909354802116.jpg,31427.112890,13987.570508,3467.960750,101299, ./facebook_images/1180_346937065399354_1246603892099329.jpg,0.034182,101299, ./facebook_images/1316_346937065399354_1253131941446524.jpg,0.992175,0.158283,0.041327
./instagram/instagram_images/051.jpg,103333, ./facebook_images/1306_346937065399354_1253063154786736.jpg,6.413838,102888, ./facebook_images/0807_135665053303678_551844801685699.jpg,27238.547580,12033.854558,3119.705348,103333, ./facebook_images/1180_346937065399354_1246603892099329.jpg,0.009797,103333, ./facebook_images/1306_346937065399354_1253063154786736.jpg,0.992355,0.222099,0.067746
./instagram/instagram_images/052.jpg,105362, ./facebook_images/1291_346937065399354_1252952691464449.jpg,9.919563,104732, ./facebook_images/0601_219367258105115_1286875358020961.jpg,54364.372350,14591.285170,8913.709773,105362, ./facebook_images/1222_346937065399354_1248598775233174.jpg,0.003004,105362, ./facebook_images/1291_346937065399354_1252952691464449.jpg,0.988792,0.065580,0.082226
./instagram/instagram_images/053.jpg,107397, ./facebook_images/1282_346937065399354_1252876628138722.jpg,10.618323,108308, ./facebook_images/2251_114517875225866_1470917416252565.jpg,51970.340030,14856.236877,8224.623662,107397, ./facebook_images/1631_62317591679_10153850716636680.jpg,0.008191,107397, ./facebook_images/1282_346937065399354_1252876628138722.jpg,0.965207,0.074470,0.089129
./instagram/instagram_images/054.jpg,109443, ./facebook_images/1284_346937065399354_1252892884803763.jpg,10.806289,108820, ./facebook_images/0601_219367258105115_1286875358020961.jpg,53153.706060,14919.135814,8502.456442,109443, ./facebook_images/1222_346937065399354_1248598775233174.jpg,0.004025,109443, ./facebook_images/1284_346937065399354_1252892884803763.jpg,0.988182,0.061546,0.076595
./instagram/instagram_images/055.jpg,111486, ./facebook_images/1283_346937065399354_1252884128137972.jpg,9.590227,110864, ./facebook_images/0601_219367258105115_1286875358020961.jpg,53248.155120,14550.033121,8635.697183,111486, ./facebook_images/1222_346937065399354_1248598775233174.jpg,0.003238,111486, ./facebook_images/1283_346937065399354_1252884128137972.jpg,0.988854,0.065372,0.078692
./instagram/instagram_images/056.jpg,114271, ./facebook_images/2043_389658314427637_1536462213080569.jpg,8123.694955,113108, ./facebook_images/0807_135665053303678_551844801685699.jpg,31061.000560,13753.958876,3446.073806,113032, ./facebook_images/1180_346937065399354_1246603892099329.jpg,0.001433,113032, ./facebook_images/0725_219367258105115_1291498714225292.jpg,0.293230,0.126070,0.047575
./instagram/instagram_images/057.jpg,115654, ./facebook_images/1365_62317591679_10153840889606680.jpg,7131.516111,114952, ./facebook_images/0601_219367258105115_1286875358020961.jpg,50149.851690,15180.761701,7612.478329,116022, ./facebook_images/1871_62317591679_10153863757616680.jpg,0.008406,116022, ./facebook_images/1739_62317591679_10153860575936680.jpg,0.477000,0.102157,0.074091
./instagram/instagram_images/058.jpg,117261, ./facebook_images/0881_135665053303678_552582248278621.jpg,8990.610530,117196, ./facebook_images/0807_135665053303678_551844801685699.jpg,33009.217770,14073.712681,3737.452170,117661, ./facebook_images/1222_346937065399354_1248598775233174.jpg,0.045548,117661, ./facebook_images/1327_346937065399354_1253262431433475.jpg,0.532095,0.147598,0.039366
./instagram/instagram_images/059.jpg,120305, ./facebook_images/1938_389658314427637_1533784520015005.jpg,6554.475952,120179, ./facebook_images/1808_62317591679_10153861784371680.jpg,34765.132520,18381.247497,5942.996761,119649, ./facebook_images/1832_62317591679_10153862364781680.jpg,0.017347,119649, ./facebook_images/1269_346937065399354_1252670108159374.jpg,0.357918,0.147901,0.068597
./instagram/instagram_images/060.jpg,122447, ./facebook_images/2043_389658314427637_1536462213080569.jpg,6963.923765,122616, ./facebook_images/2251_114517875225866_1470917416252565.jpg,31200.145650,12588.221080,3775.311256,122511, ./facebook_images/1180_346937065399354_1246603892099329.jpg,0.023568,122511, ./facebook_images/2114_389658314427637_1540570659336391.jpg,0.365019,0.211631,0.055695
./instagram/instagram_images/061.jpg,123722, ./facebook_images/1253_346937065399354_1249822718444113.jpg,18.189590,124267, ./facebook_images/1808_62317591679_10153861784371680.jpg,41585.226260,21103.946675,7713.211263,123722, ./facebook_images/1832_62317591679_10153862364781680.jpg,0.023373,123722, ./facebook_images/1253_346937065399354_1249822718444113.jpg,0.988180,0.207796,0.097095
./instagram/instagram_images/062.jpg,125765, ./facebook_images/1252_346937065399354_1249815455111506.jpg,30.476311,125172, ./facebook_images/0601_219367258105115_1286875358020961.jpg,45080.818860,13500.307188,6731.947082,125765, ./facebook_images/1222_346937065399354_1248598775233174.jpg,0.017544,125765, ./facebook_images/1252_346937065399354_1249815455111506.jpg,0.899662,0.090870,0.044878
./instagram/instagram_images/063.jpg,127805, ./facebook_images/1248_346937065399354_1249702155122836.jpg,88.927813,128355, ./facebook_images/1808_62317591679_10153861784371680.jpg,37333.554790,19656.543517,6462.982516,127805, ./facebook_images/1808_62317591679_10153861784371680.jpg,0.009855,127805, ./facebook_images/1248_346937065399354_1249702155122836.jpg,0.943036,0.127547,0.075416
./instagram/instagram_images/064.jpg,129841, ./facebook_images/1240_346937065399354_1248608988565486.jpg,20.357522,130815, ./facebook_images/2281_114517875225866_1472655802745393.jpg,26317.922080,13893.141824,3048.861847,129841, ./facebook_images/1183_346937065399354_1246648265428225.jpg,0.042219,129841, ./facebook_images/1240_346937065399354_1248608988565486.jpg,0.968559,0.198584,0.058931
./instagram/instagram_images/065.jpg,131884, ./facebook_images/1239_346937065399354_1248555121904206.jpg,26.526692,131304, ./facebook_images/0601_219367258105115_1286875358020961.jpg,53216.898880,14748.883398,8601.239750,131884, ./facebook_images/1631_62317591679_10153850716636680.jpg,0.005369,131884, ./facebook_images/1239_346937065399354_1248555121904206.jpg,0.906313,0.059668,0.073899
./instagram/instagram_images/066.jpg,133898, ./facebook_images/1208_346937065399354_1247756578650727.jpg,11.657659,134880, ./facebook_images/2251_114517875225866_1470917416252565.jpg,44618.935330,15951.224039,6015.759313,133898, ./facebook_images/1222_346937065399354_1248598775233174.jpg,0.015908,133898, ./facebook_images/1208_346937065399354_1247756578650727.jpg,0.984326,0.118033,0.061535
./instagram/instagram_images/067.jpg,135927, ./facebook_images/1190_346937065399354_1246757028750682.jpg,18.823816,135392, ./facebook_images/0601_219367258105115_1286875358020961.jpg,53142.476040,14584.453133,8642.707133,135927, ./facebook_images/0975_135665053303678_554123694791143.jpg,0.004708,135927, ./facebook_images/1190_346937065399354_1246757028750682.jpg,0.933144,0.064840,0.086408
./instagram/instagram_images/068.jpg,137976, ./facebook_images/1197_346937065399354_1246793508747034.jpg,27.906299,137436, ./facebook_images/0601_219367258105115_1286875358020961.jpg,36571.539670,12174.390627,4957.165142,137976, ./facebook_images/1381_62317591679_10153841432376680.jpg,0.031385,137976, ./facebook_images/1197_346937065399354_1246793508747034.jpg,0.922028,0.097611,0.034328
./instagram/instagram_images/069.jpg,140005, ./facebook_images/1180_346937065399354_1246603892099329.jpg,27.455989,139480, ./facebook_images/0601_219367258105115_1286875358020961.jpg,53477.834630,14785.295358,8646.687683,140005, ./facebook_images/1479_62317591679_10153844989821680.jpg,0.003715,140005, ./facebook_images/1180_346937065399354_1246603892099329.jpg,0.919209,0.054106,0.078071
./instagram/instagram_images/070.jpg,142056, ./facebook_images/1187_346937065399354_1246725472087171.jpg,45.906733,141524, ./facebook_images/0601_219367258105115_1286875358020961.jpg,43523.281010,14518.919175,6137.738269,142056, ./facebook_images/1222_346937065399354_1248598775233174.jpg,0.006432,142056, ./facebook_images/1187_346937065399354_1246725472087171.jpg,0.917485,0.065162,0.050246
